Name,Type of Sell,Category,MRP,Best Price,Manufacturer
"Natuur Oudh,Vetiver,Patchouli Body Butter",jar of 100 gm Cream,Natural Hair & Skin Care,350,350,Natuur
Natuur Oudh-Gardenia-Lime Body Lotion,jar of 100 gm Lotion,Natural Hair & Skin Care,250,250,Natuur
Natuur Pure Aloe Vera Gel,jar of 100 gm Gel,Natural Hair & Skin Care,200,200,Natuur
Natuur Pure Rose Water,bottle of 200 ml Liquid,Natural Hair & Skin Care,350,350,Natuur
Natuur Rose & Vetiver Natural Skin Cleansing Body Wash,bottle of 200 ml Body Wash,"Summer Essentials , Acne Care , Bath Essentials",325,325,Natuur
Natuur Rose Essential Glow Body Butter,jar of 100 gm Cream,Natural Hair & Skin Care,350,339,Natuur
Natuur Rose Lip Balm,jar of 15 gm Balm,Natural Hair & Skin Care,225,225,Natuur
Natuur Teeth Whitening Powder,packet of 100 gm Powder,"Natural Hair & Skin Care , Ayurveda , Oral Care",150,150,Natuur
Natuur Vanilla Body Butter,jar of 100 gm Cream,Natural Hair & Skin Care,350,339,Naturoman
Natuur Vanilla Spice Body Butter,jar of 100 gm Cream,Natural Hair & Skin Care,350,339,Natuur
Natuur Vanilla+Sandalwood Purifying Soap,box of 100 gm Soap,Bath Essentials,225,225,Natuur
Natvie 200 Capsule,strip of 10 capsules,"Fitness and Supplements , Vitamin and Supplements",112.9,96,Franco-Indian Pharmaceuticals Pvt Ltd
Natvie 200 Capsule,strip of 15 capsules,Vitamin and Supplements,186,161,Franco-Indian Pharmaceuticals Pvt Ltd
Natvie 400 Capsule,strip of 15 capsules,Vitamin and Supplements,327,327,Franco-Indian Pharmaceuticals Pvt Ltd
Natvie C Capsule,strip of 10 capsules,Vitamin and Supplements,101.67,86,Franco-Indian Pharmaceuticals Pvt Ltd
Natvie Forte Capsule,strip of 10 capsules,Heart Care,219.66,209,Franco-Indian Pharmaceuticals Pvt Ltd
Natvie Gold Capsule,strip of 15 capsules,Vitamin and Supplements,489,416,Franco-Indian Pharmaceuticals Pvt Ltd
Naulakha A-One All In One Vaporizer,box of 1 Unit,Nebulisers and Vapourisers,470,470,Naulakha Industries
Naulakha Bed Pan Premium,packet of 1 Bed Pan,Doctor's Corner,390,367,Naulakha Industries
Naulakha Blood Lancets,box of 100 lancets,Doctor's Corner,285,285,Naulakha Industries
Naulakha Infra Red Forehead Thermometer,box of 1 Unit,"Thermometers , Thermometers , Covid Test & Prevention",7999,1269,Naulakha Industries
Naulakha Sleek All in One Vaporizer,box of 1 Unit,Nebulisers and Vapourisers,470,312,Naulakha Industries
Naulakha Specimen Container,packet of 1 Container,Doctor's Corner,17,16.66,Naulakha Industries
Naulakha Urine Pot for Male Pkt-27 2-IN-1 (Large),packet of 1 Unit,"Doctor's Corner , Men Care",210,210,Naulakha Industries
Naulakha Vaporizer Sleek,box of 1 Unit,"Nebulisers and Vapourisers , Doctor's Corner",470,470,Naturoman
Nauseal Plus Tablet,strip of 10 tablets,Vitamin and Supplements,120,114,Redicine Laboratories Pvt Ltd
Nauty Mood Condom Chocolate,packet of 3 condoms,"Condoms , Men Care , Sexual Wellness",30,30,Ankran Biotech Pvt Ltd
Nauty Mood Condom Strawberry,packet of 3 condoms,"Men Care , Sexual Wellness , Condoms",30,30,Ankyl Earth Pharmaceuticals Pvt Ltd
Nav Jiwan Istri Ratna Syrup,bottle of 200 ml Syrup,"Ayurveda , Women Care",112,112,Navil Laboratories Pvt Ltd
Navakesh Capsule,strip of 10 capsules,Hair Growth For Men,130,121,Transced Therapeutics
Navchetana Kendra Always Fit Syrup,bottle of 200 ml Syrup,"Stomach Care , Mental Wellness , Ayurveda",290,261,Navchetana Kendra Healthcare Pvt Ltd
Navchetana Kendra Arjuna Cardiac Care Tablet,bottle of 60 tablets,Ayurveda,145,131,Navchetana Kendra Healthcare Pvt Ltd
Navchetana Kendra Ashwagandha Stress Reliever Tablet,bottle of 60 tablets,"Ashwagandha (Immunity & Stress) , Ayurveda , Mental Wellness , Herbs",195,166,Navchetana Kendra Healthcare Pvt Ltd
Navchetana Kendra Ayush Kwath Immunity Booster Tablet,bottle of 60 tablets,Ayurveda,165,157,Navchetana Kendra Healthcare Pvt Ltd
